question,answer,llama_answer,llama_exact_match,gemma_answer,gemma_exact_match,deepseek_answer,deepseek_exact_match
"Who is the author of the book ""Coronado's Children""?",J. Frank Dobie,,0,James A. Michener,0,unsure,0
"Who is the author of the book ""Loose Ends (novel)""?",Greg Cox (writer),,0,Patricia Cornwell,0,James R. Hannibal,0
"Who is the author of the book ""Tales from the Nightside""?",Charles L. Grant,,0,Neil Gaiman,0,Charles Stross,0
"Who is the author of the book ""The Good House""?",Tananarive Due,,0,Tananarive Due,1,Ann Leckie,0
"Who is the author of the book ""A Vulgar Display of Power: Courage and Carnage at the Alrosa Villa""?",Chris Armold,Joe Schreiber,0,Jim DeRogatis,0,Joe Abercrombie,0
"Who is the author of the book ""After Henry (book)""?",Joan Didion,,0,Claire Messud,0,Henry Miller,0
"Who is the author of the book ""The Egyptian""?",Mika Waltari,,0,Mika Waltari,1,Zealot,0
"Who is the author of the book ""In Evil Hour""?",Gabriel García Márquez,,0,Robert McCammon,0,P. N. Elrod,0
"Who is the author of the book ""Moments of Reprieve""?",Primo Levi,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""The Game (London novel)""?",Jack London,,0,Neil Strauss,0,John Fowles,0
"Who is the author of the book ""48 Shades of Brown""?",Nick Earls,,0,unsure,0,unsure,0
"Who is the author of the book ""The Man from Barbarossa""?",John Gardner (British writer),,0,unsure,0,James A. Michener,0
"Who is the author of the book ""The Jewels of Aptor""?",Samuel R. Delany,,0,Robert Lynn Asprin,0,Piers Anthony,0
"Who is the author of the book ""The Dorsai Companion""?",Gordon R. Dickson,,0,Gordon R. Dickson,1,David Pulver,0
"Who is the author of the book ""The Book of Ptath""?",A. E. van Vogt,,0,unsure,0,R.A. Hine,0
"Who is the author of the book ""The Eyes of Heisenberg""?",Frank Herbert,,0,unsure,0,James Gleick,0
"Who is the author of the book ""W, or the Memory of Childhood""?",Georges Perec,Georges Perec,1,Georges Perec,1,Doris Lessing,0
"Who is the author of the book ""Pyramids (novel)""?",Terry Pratchett,,0,,0,Orson Scott Card,0
"Who is the author of the book ""Adiamante""?",L. E. Modesitt Jr.,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Savage Inequalities""?",Jonathan Kozol,,0,Jonathan Kozol,1,Jonathan Kozol,1
"Who is the author of the book ""Instant Physics""?",Tony Rothman,,0,unsure,0,unsure,0
"Who is the author of the book ""Snuff (Palahniuk novel)""?",Chuck Palahniuk,,0,Chuck Palahniuk,1,Chuck Palahniuk,1
"Who is the author of the book ""Pop. 1280""?",Jim Thompson (writer),,0,,0,T.C. Boyle,0
"Who is the author of the book ""Letter from Peking""?",Pearl S. Buck,,0,,0,Jack London,0
"Who is the author of the book ""Salvador (book)""?",Joan Didion,,0,Mario Vargas Llosa,0,unsure,0
"Who is the author of the book ""Zami: A New Spelling of My Name""?",Audre Lorde,Audre Lorde,1,Audre Lorde,1,Audre Lorde,1
"Who is the author of the book ""The Rescue (Conrad novel)""?",Joseph Conrad,,0,Nicholas Sparks,0,Tracy Hickman,0
"Who is the author of the book ""Reborn (novel)""?",F. Paul Wilson,,0,,0,Stephen King,0
"Who is the author of the book ""The Geography of Nowhere""?",James Howard Kunstler,,0,James Howard Kunstler,1,James Howard Kunstler,1
"Who is the author of the book ""A Corner of the Universe""?",Ann M. Martin,,0,Ann Leckie,0,Kristeen Debra,0
"Who is the author of the book ""Through Gates of Splendor""?",Elisabeth Elliot,,0,Jim Elliot,0,Don Richardson,0
"Who is the author of the book ""I, Lucifer (Duncan novel)""?",Glen Duncan,,0,Glen Cook,0,R. A. Salvatore,0
"Who is the author of the book ""Brazil (novel)""?",John Updike,,0,unsure,0,Paulo Coelho,0
"Who is the author of the book ""The Last Defender of Camelot (2002 book)""?",Roger Zelazny,Roger Zelazny,1,T. Kingfisher,0,Stephen R. Donaldson,0
"Who is the author of the book ""A Mixture of Frailties""?",Robertson Davies,,0,,0,unsure,0
"Who is the author of the book ""Tales of the Quintana Roo""?","James Tiptree, Jr.",,0,unsure,0,James A. Williamson,0
"Who is the author of the book ""A Book of Common Prayer""?",Joan Didion,,0,James Joyce,0,The Church of England,0
"Who is the author of the book ""The Autocrat of the Breakfast-Table""?","Oliver Wendell Holmes, Sr.",Oliver Wendell Holmes,0,Oliver Wendell Holmes Jr.,0,George William Curtis,0
"Who is the author of the book ""The Blue Castle""?",Lucy Maud Montgomery,,0,L.M. Montgomery,0,L. M. Montgomery,0
"Who is the author of the book ""Queen Bees and Wannabes""?",Rosalind Wiseman,Rosalind Wiseman,1,Rosalind Wiseman,1,Rosalind Wiseman,1
"Who is the author of the book ""Call It Courage""?",Armstrong Sperry,,0,Armstrong Sperry,1,Armstrong Sperry,1
"Who is the author of the book ""Mind Fields""?",Harlan Ellison,,0,Daniel Suarez,0,David Gerrold,0
"Who is the author of the book ""The Box of Delights""?",John Masefield,,0,John Masefield,1,John Masefield,1
"Who is the author of the book ""Ten Kids, No Pets""?",Ann M. Martin,,0,unsure,0,James Preller,0
"Who is the author of the book ""The Troll""?",Julia Donaldson,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Shattered (Koontz novel)""?",Dean Koontz,,0,Dean Koontz,1,Stephen King,0
"Who is the author of the book ""I Know This Much Is True""?",Wally Lamb,,0,Wally Lamb,1,W. P. Kinsella,0
"Who is the author of the book ""Darker Than You Think""?",Jack Williamson,,0,unsure,0,C.S. Lewis,0
"Who is the author of the book ""All the Brothers Were Valiant (novel)""?",Ben Ames Williams,Helen Reilly,0,James Jones,0,David Eddings,0
"Who is the author of the book ""Worlds of Tomorrow""?",August Derleth,,0,Isaac Asimov,0,Ursula K. Le Guin,0
"Who is the author of the book ""Prayers to Broken Stones""?",Dan Simmons,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Atom: Journey Across the Subatomic Cosmos""?",Isaac Asimov,Isaac C. Martin,0,Natalie Angier,0,John Gribbin,0
"Who is the author of the book ""Wizard's Hall""?",Jane Yolen,,0,unsure,0,R.A. Salvatore,0
"Who is the author of the book ""Stone Hotel""?",Raegan Butcher,,0,Sarah Pinborough,0,Stephen King,0
"Who is the author of the book ""Jennifer Government""?",Max Barry,,0,Max Barry,1,Max Barry,1
"Who is the author of the book ""Dracula's Guest and Other Weird Stories""?",Bram Stoker,Bram Stoker,1,Bram Stoker,1,Henry James,0
"Who is the author of the book ""Radix (novel)""?",A. A. Attanasio,,0,John Scalzi,0,Frank Herbert,0
"Who is the author of the book ""Dreams and Fancies""?",H. P. Lovecraft,,0,unsure,0,Tracy Hickman,0
"Who is the author of the book ""Bridge of Souls""?",Fiona McIntosh,,0,Danielle L. Jensen,0,Brandon Sanderson,0
"Who is the author of the book ""Scuppers The Sailor Dog""?",Margaret Wise Brown,,0,unsure,0,Ann M. Martin,0
"Who is the author of the book ""Kjære Margit""?",Margit Sandemo,,0,unsure,0,Karen Blixen,0
"Who is the author of the book ""Lucy Crown""?",Irwin Shaw,,0,K.L. Going,0,Stephen King,0
"Who is the author of the book ""One, No One and One Hundred Thousand""?",Luigi Pirandello,,0,Luigi Pirandello,1,Frank Herbert,0
"Who is the author of the book ""Rogue Mage series""?",Faith Hunter,,0,Rachel Aaron,0,P. N. Elrod,0
"Who is the author of the book ""Tarzan Alive: A Definitive Biography of Lord Greystoke""?",Philip José Farmer,John Bartlow Martin,0,David A. Adler,0,Edgar Rice Burroughs,0
"Who is the author of the book ""Koko (novel)""?",Peter Straub,,0,Françoise Dolto,0,Vanita Oelsner,0
"Who is the author of the book ""Tin Woodman (novel)""?",David Bischoff,,0,Michael Morpurgo,0,Stephen King,0
"Who is the author of the book ""Peveril of the Peak""?",Walter Scott,,0,George Eliot,0,J. R. R. Tolkien,0
"Who is the author of the book ""The Evidence of Things Not Seen""?",James Baldwin,,0,,0,N. K. Jemisin,0
"Who is the author of the book ""Ranald Bannerman's Boyhood""?",George MacDonald,George MacDonald,1,unsure,0,Ranald Bannerman,0
"Who is the author of the book ""Over the Edge (anthology)""?",August Derleth,,0,Unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Cathedral (stories)""?",Raymond Carver,,0,Raymond Carver,1,Ursula K. Le Guin,0
"Who is the author of the book ""The Water's Lovely""?",Ruth Rendell,,0,unsure,0,unsure,0
"Who is the author of the book ""Joyful Noise: Poems for Two Voices""?",Paul Fleischman,Shel Silverstein,0,,0,Patricia C. McKissack,0
"Who is the author of the book ""Three Bags Full""?",Leonie Swann,,0,Neil Gaiman,0,P.C. Hodgell,0
"Who is the author of the book ""The Evil of the Daleks  The Evil of the Daleks  1""?",John Peel (writer),Terrance Dicks,0,Terrance Dicks,0,Terryl Whitaker,0
"Who is the author of the book ""Food Lover's Companion""?",Sharon Tyler Herbst,,0,Sharon Tyler Herbst,1,Pat Meier,0
"Who is the author of the book ""Baltasar and Blimunda""?",José Saramago,,0,José Saramago,1,Jorge Amado,0
"Who is the author of the book ""The Sirens of Titan""?",Kurt Vonnegut,,0,Kurt Vonnegut,1,Kurt Vonnegut,1
"Who is the author of the book ""Will Warburton""?",George Gissing,,0,unsure,0,Unsure,0
"Who is the author of the book ""The Street Lawyer""?",John Grisham,,0,John Grisham,1,Jack Kerouac,0
"Who is the author of the book ""Downward to the Earth""?",Robert Silverberg,,0,unsure,0,P.C. Hodgell,0
"Who is the author of the book ""This Fortress World""?",James E. Gunn (writer),,0,unsure,0,David Weber,0
"Who is the author of the book ""Dare to Be Scared""?",Robert D. San Souci,,0,R.L. Stine,0,R. L. Stine,0
"Who is the author of the book ""Taronga""?",Victor Kelleher,,0,unsure,0,P.C. Hodgell,0
"Who is the author of the book ""Jewels of Gwahlur (collection)""?",Robert E. Howard,Robert E. Howard,1,Robert E. Howard,1,Margaret Weis,0
"Who is the author of the book ""Empty World""?",John Christopher,,0,Ken Liu,0,Orson Scott Card,0
"Who is the author of the book ""The Best of Arthur C. Clarke""?",Arthur C. Clarke,,0,Arthur C. Clarke,1,Arthur C. Clarke,1
"Who is the author of the book ""The Conan Chronicles II""?",Robert Jordan,,0,Unsure,0,R.A. Salvatore,0
"Who is the author of the book ""Dobry""?",Monica Shannon,,0,unsure,0,unsure,0
"Who is the author of the book ""Badenheim 1939""?",Aharon Appelfeld,,0,Bruno Schulz,0,Ankaula,0
"Who is the author of the book ""The Dangerous Summer""?",Ernest Hemingway,,0,Stephen King,0,Jacqueline Susann,0
"Who is the author of the book ""Ciske de Rat""?",Piet Bakker (writer),,0,,0,unsure,0
"Who is the author of the book ""The Notebooks of Lazarus Long""?",Robert A. Heinlein,,0,Robert A. Heinlein,1,Robert A. Heinlein,1
"Who is the author of the book ""Old Masters (novel)""?",Thomas Bernhard,,0,Daniel Silva,0,John Maddox Roberts,0
"Who is the author of the book ""The Politics of Bones""?",J. Timothy Hunt,,0,unsure,0,Kay Park,0
"Who is the author of the book ""Deliverance (novel)""?",James Dickey,,0,James Dickey,1,Jack Ketchum,0
"Who is the author of the book ""Illusions (Bach novel)""?",Richard Bach,,0,unsure,0,J. R. R. Tolkien,0
"Who is the author of the book ""The Mysterious Disappearance of Leon (I Mean Noel)""?",Ellen Raskin,Harlan Coben,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""The Bears' Famous Invasion of Sicily""?",Dino Buzzati,"Dumas, Alexandre",0,,0,Rudyard Kipling,0
"Who is the author of the book ""Shame (Alvtegen novel)""?",Karin Alvtegen,Karin Alvtegen,1,Håkan Nesser,0,unsure,0
"Who is the author of the book ""Smoky Night""?",Eve Bunting,,0,Eve Bunting,1,Stephen King,0
"Who is the author of the book ""Skipping Christmas""?",John Grisham,,0,John Grisham,1,John Grisham,1
"Who is the author of the book ""Green Henry""?",Gottfried Keller,,0,unsure,0,Paullina Simons,0
"Who is the author of the book ""Son of the Red Corsair""?",Emilio Salgari,,0,unsure,0,David Eddings,0
"Who is the author of the book ""The Witches of Chiswick""?",Robert Rankin,,0,,0,Ursula K. Le Guin,0
"Who is the author of the book ""The House of Mirth""?",Edith Wharton,,0,Edith Wharton,1,Edith Wharton,1
"Who is the author of the book ""No Comebacks""?",Frederick Forsyth,,0,unsure,0,John O'Callaghan,0
"Who is the author of the book ""So Disdained""?",Nevil Shute,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""The Romance of the Forest""?",Ann Radcliffe,,0,unsure,0,Ann Radcliffe,1
"Who is the author of the book ""Faggots (novel)""?",Larry Kramer,Larry Kramer,1,Larry Mitchell,0,Alan Hollinghurst,0
"Who is the author of the book ""The Lady in the Morgue""?",Jonathan Latimer,Rex Stout,0,Patricia Cornwell,0,Dean Koontz,0
"Who is the author of the book ""The Masqueraders""?",Georgette Heyer,,0,Kit Rocha,0,P.C. Hodgell,0
"Who is the author of the book ""Gauche the Cellist""?",Kenji Miyazawa,,0,unsure,0,Daniel Handler,0
"Who is the author of the book ""Jacob's Room""?",Virginia Woolf,,0,Virginia Woolf,1,Virginia Woolf,1
"Who is the author of the book ""The Neon Bible""?",John Kennedy Toole,,0,Denis Johnson,0,Chang-Rae Lee,0
"Who is the author of the book ""Barabbas (novel)""?",Pär Lagerkvist,,0,P.B. Shelley,0,Paul Laxton,0
"Who is the author of the book ""The Mist""?",Stephen King,,0,Stephen King,1,R. A. Salvatore,0
"Who is the author of the book ""Star Quest""?",Dean Koontz,,0,David Weber,0,David Eddings,0
"Who is the author of the book ""Land of the Headless""?",Adam Roberts (British writer),,0,Matt Haig,0,R. A. Salvatore,0
"Who is the author of the book ""The Bronze Horseman (poem)""?",Alexander Pushkin,Alexander Pushkin,1,Paul  Valery,0,Vladimir Mayakovsky,0
"Who is the author of the book ""The Fair Maid of Perth""?",Walter Scott,,0,Sir Walter Scott,0,Walter Scott,1
"Who is the author of the book ""The Tangled Skein""?",Emma Orczy,,0,unsure,0,R.A. Salvatore,0
"Who is the author of the book ""No Deals, Mr. Bond""?",John Gardner (British writer),John Gardner,0,unsure,0,Bill Oddie,0
"Who is the author of the book ""Lon Po Po""?",Ed Young (illustrator),,0,Hollee Actman Becker,0,Ed Young,0
"Who is the author of the book ""The Boat of a Million Years""?",Poul Anderson,Poul Anderson,1,Stephen Baxter,0,Piers Anthony,0
"Who is the author of the book ""The Purple Decades""?",Tom Wolfe,,0,unsure,0,Ursula K. Le Guin,0
"Who is the author of the book ""Interlopers""?",Alan Dean Foster,,0,unsure,0,P. G. Wodehouse,0
"Who is the author of the book ""Katrina (novel)""?",Sally Salminen,,0,James Lee Burke,0,John Grisham,0
"Who is the author of the book ""The Hand in the Glove""?",Rex Stout,Elizabeth Peters,0,unsure,0,P. N. Elrod,0
"Who is the author of the book ""Family Secrets (novel)""?",Norma Klein,,0,Danielle Steel,0,Jodi Picoult,0
"Who is the author of the book ""Loudspeaker Recipes: Book 1""?",Vance Dickason,,0,unsure,0,John Watkinson,0
"Who is the author of the book ""Witches Abroad""?",Terry Pratchett,,0,Terry Pratchett,1,P. G. Wodehouse,0
"Who is the author of the book ""Other Voices, Other Rooms (novel)""?",Truman Capote,,0,Truman Capote,1,Truman Capote,1
"Who is the author of the book ""Extensa""?",Jacek Dukaj,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Austerlitz (novel)""?",W. G. Sebald,,0,W.G. Sebald,0,Bernard Schlink,0
"Who is the author of the book ""Greyhawk: The Adventure Begins""?",Roger E. Moore,,0,"Gary Gygax,  Frank Mentzer",0,Neil Gaiman,0
"Who is the author of the book ""Mystic River (novel)""?",Dennis Lehane,,0,Dennis Lehane,1,Dennis Lehane,1
"Who is the author of the book ""The In-Between World of Vikram Lall""?",M. G. Vassanji,M.G. Vassanji,0,M.G. Vassanji,0,Vikram Lall,0
"Who is the author of the book ""The Soddit""?",Adam Roberts (British writer),,0,unsure,0,P. G. Wodehouse,0
"Who is the author of the book ""The Killing Doll""?",Ruth Rendell,,0,Lisa Gardner,0,Dean Koontz,0
"Who is the author of the book ""The Arkham Collector: Volume I""?",August Derleth,,0,"H.P. Lovecraft,  Scott David Aniolowski",0,S.T. Joshi,0
"Who is the author of the book ""Going to Ground""?",Ali Sparkes,,0,unsure,0,David Weber,0
"Who is the author of the book ""Black Fox of Lorne""?",Marguerite de Angeli,,0,Patricia A. McKillip,0,P.C. Hodgell,0
"Who is the author of the book ""Seventeen (Tarkington novel)""?",Booth Tarkington,,0,Booth Tarkington,1,Joseph Hunkeler,0
"Who is the author of the book ""The £1,000,000 Bank Note and Other New Stories""?",Mark Twain,Mark Twain,1,Mark Twain,1,O. Henry,0
"Who is the author of the book ""Under Compulsion""?",Thomas M. Disch,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""The Man Within""?",Graham Greene,,0,Richard Bach,0,John D. MacDonald,0
"Who is the author of the book ""The Virgin of Zesh & The Tower of Zanid""?",L. Sprague de Camp,Robert E. Howard,0,unsure,0,Margaret Weis,0
"Who is the author of the book ""Players (DeLillo novel)""?",Don DeLillo,,0,Don DeLillo,1,Don DeLillo,1
"Who is the author of the book ""Lipstick Jungle (novel)""?",Candace Bushnell,,0,Candace Bushnell,1,Jennifer E. Smith,0
"Who is the author of the book ""Lost Worlds (book)""?",Clark Ashton Smith,,0,unsure,0,Frank Frazetta,0
"Who is the author of the book ""Zuleika Dobson""?",Max Beerbohm,,0,Max Beerbohm,1,Henry James,0
"Who is the author of the book ""334 (novel)""?",Thomas M. Disch,,0,unsure,0,Alan Glynn,0
"Who is the author of the book ""Out of Space and Time""?",Clark Ashton Smith,,0,unsure,0,Piers Anthony,0
"Who is the author of the book ""Zodiac (novel)""?",Neal Stephenson,,0,Robert Greene,0,Ursula K. Le Guin,0
"Who is the author of the book ""Claudine at School""?",Colette,,0,,0,Enid Blyton,0
"Who is the author of the book ""The Magicians (Priestley novel)""?",J. B. Priestley,,0,Lev Grossman,0,Philip Pullman,0
"Who is the author of the book ""Selected Letters of H. P. Lovecraft II (1925–1929)""?",H. P. Lovecraft,"David E. Schultz, S. T. Joshi",0,Unsure,0,H. P. Lovecraft,1
"Who is the author of the book ""Angel-Seeker""?",Sharon Shinn,,0,Sharon Shinn,1,R. A. Salvatore,0
"Who is the author of the book ""Curly: An Illustrated Biography of the Superstooge""?",Joan Howard Maurer,,0,unsure,0,Ron Shetter,0
"Who is the author of the book ""The Worms of Kukumlima""?",Daniel Pinkwater,,0,unsure,0,P. Craig Russell,0
"Who is the author of the book ""Deutsches Requiem (short story)""?",Jorge Luis Borges,,0,unsure,0,Ursula K. Le Guin,0
"Who is the author of the book ""People Might Hear You""?",Robin Klein,,0,Alex George,0,Joe Hill,0
"Who is the author of the book ""Beyond the Golden Stair""?",Hannes Bok,,0,John Flanagan,0,Margaret Weis,0
"Who is the author of the book ""Earthworks (novel)""?",Brian Aldiss,,0,John Saul,0,John Brant,0
"Who is the author of the book ""The Albatross""?",Susan Hill,,0,unsure,0,William Carlos Williams,0
"Who is the author of the book ""Malafrena""?",Ursula K. Le Guin,,0,unsure,0,unsure,0
"Who is the author of the book ""Theodosia and the Serpents of Chaos""?",Robin LaFevers,R.L. LaFevers,0,R.J. Palacio,0,R. A. Salvatore,0
"Who is the author of the book ""Empire Star""?",Samuel R. Delany,,0,unsure,0,R. A. Salvatore,0
"Who is the author of the book ""Being Dead""?",Jim Crace,,0,Jim Butcher,0,R. Scott Bakker,0
"Who is the author of the book ""Mephisto (novel)""?",Klaus Mann,,0,Klaus Mann,1,unsure,0
"Who is the author of the book ""My Theodosia""?",Anya Seton,,0,Megan Whalen Turner,0,James Patterson,0
"Who is the author of the book ""Lords and Ladies (novel)""?",Terry Pratchett,,0,Terry Pratchett,1,Diana Wynne Jones,0
"Who is the author of the book ""Cloudstreet""?",Tim Winton,,0,Tim Winton,1,Tim Winton,1
"Who is the author of the book ""The Unknown Ajax""?",Georgette Heyer,,0,unsure,0,Frank Herbert,0
"Who is the author of the book ""Buried Fire""?",Jonathan Stroud,,0,Chris Kuzneski,0,R. A. Salvatore,0
"Who is the author of the book ""Salem Falls""?",Jodi Picoult,,0,Dan Brown,0,John Marsden,0
"Who is the author of the book ""The Chase (Doctor Who)  The Chase  1""?",John Peel (writer),Oli Smith,0,Terrance Dicks,0,Gary Paulsen,0
"Who is the author of the book ""The Railway Children""?",E. Nesbit,,0,E. Nesbit,1,Edith Nesbit,0
"Who is the author of the book ""The Tough Guide To Fantasyland""?",Diana Wynne Jones,,0,Douglas Adams,0,Ursula K. Le Guin,0
"Who is the author of the book ""Dark Rivers of the Heart""?",Dean Koontz,,0,Deborah Harkness,0,Jeannette Ng,0
"Who is the author of the book ""The New Jerusalem (Chesterton book)""?",G. K. Chesterton,,0,G.K. Chesterton,0,G. K. Chesterton,1
"Who is the author of the book ""K-PAX IV: A New Visitor from the Constellation Lyra""?",Gene Brewer,Gene Brewer,1,Gene Brewer,1,Eric Heisserer,0
"Who is the author of the book ""Who Put That Hair in My Toothbrush?""?",Jerry Spinelli,,0,Dr. Seuss,0,James Patterson,0
"Who is the author of the book ""Forty Thousand in Gehenna""?",C. J. Cherryh,,0,unsure,0,P. N. Elrod,0
"Who is the author of the book ""Cloud, Castle, Lake""?",Vladimir Nabokov,,0,unsure,0,Patrick Rothfuss,0
"Who is the author of the book ""The Problem of Pain""?",C. S. Lewis,,0,C.S. Lewis,0,C. S. Lewis,1
"Who is the author of the book ""The Princess Casamassima""?",Henry James,,0,Henry James,1,Henry James,1
"Who is the author of the book ""Jazz (novel)""?",Toni Morrison,,0,Toni Morrison,1,Tad Williams,0
"Who is the author of the book ""The New Journalism""?",Tom Wolfe,,0,Tom Wolfe,1,Bill Buford,0
"Who is the author of the book ""100 Books by August Derleth""?",August Derleth,S.T. Joshi,0,Unsure,0,August Derleth,1
"Who is the author of the book ""Dreamer of Dune""?",Brian Herbert,,0,"Brian Herbert, Kevin J. Anderson",0,unsure,0
"Who is the author of the book ""Zoenoffer""?",Pieter Aspe,,0,unsure,0,uns,0
"Who is the author of the book ""How to Be Alone""?",Jonathan Franzen,,0,Sara Manguso,0,John Krasinski,0
"Who is the author of the book ""Special Topics in Calamity Physics""?",Marisha Pessl,Marisha Pessl,1,Marisha Pessl,1,Nnedi Okorafor,0
"Who is the author of the book ""Gunnar's Daughter""?",Sigrid Undset,,0,unsure,0,Ursula K. Le Guin,0
"Who is the author of the book ""Glasshouse (novel)""?",Charles Stross,,0,Charles Stross,1,Charles de Lint,0
"Who is the author of the book ""Europe Central""?",William T. Vollmann,,0,William T. Vollmann,1,Michel Houellebecq,0
"Who is the author of the book ""Alphabetical Africa""?",Walter Abish,,0,,0,unsure,0
"Who is the author of the book ""The Complete Walker""?",Chip Rawlins,,0,Colin Fletcher,0,unsure,0
"Who is the author of the book ""Desperation (novel)""?",Stephen King,,0,Stephen King,1,Stephen King,1
"Who is the author of the book ""First Love: A Gothic Tale""?",Joyce Carol Oates,,0,unsure,0,Charles Dickens,0
"Who is the author of the book ""Skeleton Crew""?",Stephen King,,0,Stephen King,1,R. A. Salvatore,0
"Who is the author of the book ""Star Wars Journal: The Fight for Justice""?",John Peel (writer),,0,unsure,0,Michael Stackpole,0
"Who is the author of the book ""Clonk Clonk""?",William Golding,,0,unsure,0,David J. Williams,0
"Who is the author of the book ""Absolutely Normal Chaos""?",Sharon Creech,,0,Jennifer E. Smith,0,R. A. Salvatore,0
"Who is the author of the book ""Howard Phillips Lovecraft: Dreamer on the Nightside""?",Frank Belknap Long,Donald R. Burleson,0,S.T. Joshi,0,S. T. Joshi,0
"Who is the author of the book ""Philip Hall Likes Me, I Reckon Maybe""?",Bette Greene,,0,Kacen Callender,0,uns,0
"Who is the author of the book ""Infidel (novel)""?",Ted Dekker,,0,Ayaan Hirsi Ali,0,Robert Greenwald,0
"Who is the author of the book ""My Cousin Rachel""?",Daphne du Maurier,,0,Daphne du Maurier,1,Daphne du Maurier,1
"Who is the author of the book ""Journal of a Novel""?",John Steinbeck,,0,Alexander McCall Smith,0,Henry James,0
"Who is the author of the book ""Freckle Juice""?",Judy Blume,,0,Judy Blume,1,Andrew Clements,0
"Who is the author of the book ""The Tower of the Elephant (collection)""?",Robert E. Howard,Fritz Leiber,0,Robert E. Howard,1,Ursula K. Le Guin,0
"Who is the author of the book ""Up the Line""?",Robert Silverberg,,0,unsure,0,John Ringo,0
"Who is the author of the book ""The Quiet Gentleman""?",Georgette Heyer,,0,unsure,0,P. G. Wodehouse,0
"Who is the author of the book ""Luna (Peters novel)""?",Julie Anne Peters,,0,,0,Piers Anthony,0
