pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,author,19810,single,Q4,"Who is the author of the book ""Haters (novel)""?",Alisa Valdes
P1,author,19810,single,Q4,"Who is the author of the book ""Coronado's Children""?",J. Frank Dobie
P1,author,19810,single,Q4,"Who is the author of the book ""Loose Ends (novel)""?",Greg Cox (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Nightside""?",Charles L. Grant
P1,author,19810,single,Q4,"Who is the author of the book ""The Good House""?",Tananarive Due
P1,author,19810,single,Q4,"Who is the author of the book ""A Vulgar Display of Power: Courage and Carnage at the Alrosa Villa""?",Chris Armold
P1,author,19810,single,Q4,"Who is the author of the book ""After Henry (book)""?",Joan Didion
P1,author,19810,single,Q4,"Who is the author of the book ""The Egyptian""?",Mika Waltari
P1,author,19810,single,Q4,"Who is the author of the book ""In Evil Hour""?",Gabriel García Márquez
P1,author,19810,single,Q4,"Who is the author of the book ""Moments of Reprieve""?",Primo Levi
P1,author,19810,single,Q4,"Who is the author of the book ""The Game (London novel)""?",Jack London
P1,author,19810,single,Q4,"Who is the author of the book ""48 Shades of Brown""?",Nick Earls
P1,author,19810,single,Q4,"Who is the author of the book ""The Man from Barbarossa""?",John Gardner (British writer)
P1,author,19810,single,Q4,"Who is the author of the book ""The Jewels of Aptor""?",Samuel R. Delany
P1,author,19810,single,Q4,"Who is the author of the book ""The Dorsai Companion""?",Gordon R. Dickson
P1,author,19810,single,Q4,"Who is the author of the book ""The Book of Ptath""?",A. E. van Vogt
P1,author,19810,single,Q4,"Who is the author of the book ""The Eyes of Heisenberg""?",Frank Herbert
P1,author,19810,single,Q4,"Who is the author of the book ""W, or the Memory of Childhood""?",Georges Perec
P1,author,19810,single,Q4,"Who is the author of the book ""Pyramids (novel)""?",Terry Pratchett
P1,author,19810,single,Q4,"Who is the author of the book ""Adiamante""?",L. E. Modesitt Jr.
P1,author,19810,single,Q4,"Who is the author of the book ""Savage Inequalities""?",Jonathan Kozol
P1,author,19810,single,Q4,"Who is the author of the book ""Instant Physics""?",Tony Rothman
P1,author,19810,single,Q4,"Who is the author of the book ""Snuff (Palahniuk novel)""?",Chuck Palahniuk
P1,author,19810,single,Q4,"Who is the author of the book ""Pop. 1280""?",Jim Thompson (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Letter from Peking""?",Pearl S. Buck
P1,author,19810,single,Q4,"Who is the author of the book ""Salvador (book)""?",Joan Didion
P1,author,19810,single,Q4,"Who is the author of the book ""Zami: A New Spelling of My Name""?",Audre Lorde
P1,author,19810,single,Q4,"Who is the author of the book ""The Rescue (Conrad novel)""?",Joseph Conrad
P1,author,19810,single,Q4,"Who is the author of the book ""Reborn (novel)""?",F. Paul Wilson
P1,author,19810,single,Q4,"Who is the author of the book ""The Geography of Nowhere""?",James Howard Kunstler
P1,author,19810,single,Q4,"Who is the author of the book ""A Corner of the Universe""?",Ann M. Martin
P1,author,19810,single,Q4,"Who is the author of the book ""Through Gates of Splendor""?",Elisabeth Elliot
P1,author,19810,single,Q4,"Who is the author of the book ""I, Lucifer (Duncan novel)""?",Glen Duncan
P1,author,19810,single,Q4,"Who is the author of the book ""Brazil (novel)""?",John Updike
P1,author,19810,single,Q4,"Who is the author of the book ""The Last Defender of Camelot (2002 book)""?",Roger Zelazny
P1,author,19810,single,Q4,"Who is the author of the book ""A Mixture of Frailties""?",Robertson Davies
P1,author,19810,single,Q4,"Who is the author of the book ""Tales of the Quintana Roo""?","James Tiptree, Jr."
P1,author,19810,single,Q4,"Who is the author of the book ""A Book of Common Prayer""?",Joan Didion
P1,author,19810,single,Q4,"Who is the author of the book ""The Autocrat of the Breakfast-Table""?","Oliver Wendell Holmes, Sr."
P1,author,19810,single,Q4,"Who is the author of the book ""The Blue Castle""?",Lucy Maud Montgomery
P1,author,19810,single,Q4,"Who is the author of the book ""Queen Bees and Wannabes""?",Rosalind Wiseman
P1,author,19810,single,Q4,"Who is the author of the book ""Call It Courage""?",Armstrong Sperry
P1,author,19810,single,Q4,"Who is the author of the book ""Mind Fields""?",Harlan Ellison
P1,author,19810,single,Q4,"Who is the author of the book ""The Box of Delights""?",John Masefield
P1,author,19810,single,Q4,"Who is the author of the book ""Ten Kids, No Pets""?",Ann M. Martin
P1,author,19810,single,Q4,"Who is the author of the book ""The Troll""?",Julia Donaldson
P1,author,19810,single,Q4,"Who is the author of the book ""Shattered (Koontz novel)""?",Dean Koontz
P1,author,19810,single,Q4,"Who is the author of the book ""I Know This Much Is True""?",Wally Lamb
P1,author,19810,single,Q4,"Who is the author of the book ""Darker Than You Think""?",Jack Williamson
P1,author,19810,single,Q4,"Who is the author of the book ""All the Brothers Were Valiant (novel)""?",Ben Ames Williams
P1,author,19810,single,Q4,"Who is the author of the book ""Worlds of Tomorrow""?",August Derleth
P1,author,19810,single,Q4,"Who is the author of the book ""Prayers to Broken Stones""?",Dan Simmons
P1,author,19810,single,Q4,"Who is the author of the book ""Atom: Journey Across the Subatomic Cosmos""?",Isaac Asimov
P1,author,19810,single,Q4,"Who is the author of the book ""Wizard's Hall""?",Jane Yolen
P1,author,19810,single,Q4,"Who is the author of the book ""Stone Hotel""?",Raegan Butcher
P1,author,19810,single,Q4,"Who is the author of the book ""Jennifer Government""?",Max Barry
P1,author,19810,single,Q4,"Who is the author of the book ""Dracula's Guest and Other Weird Stories""?",Bram Stoker
P1,author,19810,single,Q4,"Who is the author of the book ""Radix (novel)""?",A. A. Attanasio
P1,author,19810,single,Q4,"Who is the author of the book ""Dreams and Fancies""?",H. P. Lovecraft
P1,author,19810,single,Q4,"Who is the author of the book ""Bridge of Souls""?",Fiona McIntosh
P1,author,19810,single,Q4,"Who is the author of the book ""Scuppers The Sailor Dog""?",Margaret Wise Brown
P1,author,19810,single,Q4,"Who is the author of the book ""Kjære Margit""?",Margit Sandemo
P1,author,19810,single,Q4,"Who is the author of the book ""Lucy Crown""?",Irwin Shaw
P1,author,19810,single,Q4,"Who is the author of the book ""One, No One and One Hundred Thousand""?",Luigi Pirandello
P1,author,19810,single,Q4,"Who is the author of the book ""Rogue Mage series""?",Faith Hunter
P1,author,19810,single,Q4,"Who is the author of the book ""Tarzan Alive: A Definitive Biography of Lord Greystoke""?",Philip José Farmer
P1,author,19810,single,Q4,"Who is the author of the book ""Koko (novel)""?",Peter Straub
P1,author,19810,single,Q4,"Who is the author of the book ""Tin Woodman (novel)""?",David Bischoff
P1,author,19810,single,Q4,"Who is the author of the book ""Peveril of the Peak""?",Walter Scott
P1,author,19810,single,Q4,"Who is the author of the book ""The Evidence of Things Not Seen""?",James Baldwin
P1,author,19810,single,Q4,"Who is the author of the book ""Ranald Bannerman's Boyhood""?",George MacDonald
P1,author,19810,single,Q4,"Who is the author of the book ""Over the Edge (anthology)""?",August Derleth
P1,author,19810,single,Q4,"Who is the author of the book ""Cathedral (stories)""?",Raymond Carver
P1,author,19810,single,Q4,"Who is the author of the book ""The Water's Lovely""?",Ruth Rendell
P1,author,19810,single,Q4,"Who is the author of the book ""Joyful Noise: Poems for Two Voices""?",Paul Fleischman
P1,author,19810,single,Q4,"Who is the author of the book ""Three Bags Full""?",Leonie Swann
P1,author,19810,single,Q4,"Who is the author of the book ""The Evil of the Daleks  The Evil of the Daleks  1""?",John Peel (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Food Lover's Companion""?",Sharon Tyler Herbst
P1,author,19810,single,Q4,"Who is the author of the book ""Baltasar and Blimunda""?",José Saramago
P1,author,19810,single,Q4,"Who is the author of the book ""The Sirens of Titan""?",Kurt Vonnegut
P1,author,19810,single,Q4,"Who is the author of the book ""Will Warburton""?",George Gissing
P1,author,19810,single,Q4,"Who is the author of the book ""The Street Lawyer""?",John Grisham
P1,author,19810,single,Q4,"Who is the author of the book ""Downward to the Earth""?",Robert Silverberg
P1,author,19810,single,Q4,"Who is the author of the book ""This Fortress World""?",James E. Gunn (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Dare to Be Scared""?",Robert D. San Souci
P1,author,19810,single,Q4,"Who is the author of the book ""Taronga""?",Victor Kelleher
P1,author,19810,single,Q4,"Who is the author of the book ""Jewels of Gwahlur (collection)""?",Robert E. Howard
P1,author,19810,single,Q4,"Who is the author of the book ""Empty World""?",John Christopher
P1,author,19810,single,Q4,"Who is the author of the book ""The Best of Arthur C. Clarke""?",Arthur C. Clarke
P1,author,19810,single,Q4,"Who is the author of the book ""The Conan Chronicles II""?",Robert Jordan
P1,author,19810,single,Q4,"Who is the author of the book ""Dobry""?",Monica Shannon
P1,author,19810,single,Q4,"Who is the author of the book ""Badenheim 1939""?",Aharon Appelfeld
P1,author,19810,single,Q4,"Who is the author of the book ""The Dangerous Summer""?",Ernest Hemingway
P1,author,19810,single,Q4,"Who is the author of the book ""Ciske de Rat""?",Piet Bakker (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""The Notebooks of Lazarus Long""?",Robert A. Heinlein
P1,author,19810,single,Q4,"Who is the author of the book ""Old Masters (novel)""?",Thomas Bernhard
P1,author,19810,single,Q4,"Who is the author of the book ""The Politics of Bones""?",J. Timothy Hunt
P1,author,19810,single,Q4,"Who is the author of the book ""Deliverance (novel)""?",James Dickey
P1,author,19810,single,Q4,"Who is the author of the book ""Illusions (Bach novel)""?",Richard Bach
P1,author,19810,single,Q4,"Who is the author of the book ""The Mysterious Disappearance of Leon (I Mean Noel)""?",Ellen Raskin
P1,author,19810,single,Q4,"Who is the author of the book ""The Bears' Famous Invasion of Sicily""?",Dino Buzzati
P1,author,19810,single,Q4,"Who is the author of the book ""Shame (Alvtegen novel)""?",Karin Alvtegen
P1,author,19810,single,Q4,"Who is the author of the book ""Smoky Night""?",Eve Bunting
P1,author,19810,single,Q4,"Who is the author of the book ""Skipping Christmas""?",John Grisham
P1,author,19810,single,Q4,"Who is the author of the book ""Green Henry""?",Gottfried Keller
P1,author,19810,single,Q4,"Who is the author of the book ""Son of the Red Corsair""?",Emilio Salgari
P1,author,19810,single,Q4,"Who is the author of the book ""The Witches of Chiswick""?",Robert Rankin
P1,author,19810,single,Q4,"Who is the author of the book ""The House of Mirth""?",Edith Wharton
P1,author,19810,single,Q4,"Who is the author of the book ""No Comebacks""?",Frederick Forsyth
P1,author,19810,single,Q4,"Who is the author of the book ""So Disdained""?",Nevil Shute
P1,author,19810,single,Q4,"Who is the author of the book ""The Romance of the Forest""?",Ann Radcliffe
P1,author,19810,single,Q4,"Who is the author of the book ""Faggots (novel)""?",Larry Kramer
P1,author,19810,single,Q4,"Who is the author of the book ""The Lady in the Morgue""?",Jonathan Latimer
P1,author,19810,single,Q4,"Who is the author of the book ""The Masqueraders""?",Georgette Heyer
P1,author,19810,single,Q4,"Who is the author of the book ""Gauche the Cellist""?",Kenji Miyazawa
P1,author,19810,single,Q4,"Who is the author of the book ""Jacob's Room""?",Virginia Woolf
P1,author,19810,single,Q4,"Who is the author of the book ""The Neon Bible""?",John Kennedy Toole
P1,author,19810,single,Q4,"Who is the author of the book ""Barabbas (novel)""?",Pär Lagerkvist
P1,author,19810,single,Q4,"Who is the author of the book ""The Mist""?",Stephen King
P1,author,19810,single,Q4,"Who is the author of the book ""Star Quest""?",Dean Koontz
P1,author,19810,single,Q4,"Who is the author of the book ""Land of the Headless""?",Adam Roberts (British writer)
P1,author,19810,single,Q4,"Who is the author of the book ""The Bronze Horseman (poem)""?",Alexander Pushkin
P1,author,19810,single,Q4,"Who is the author of the book ""The Fair Maid of Perth""?",Walter Scott
P1,author,19810,single,Q4,"Who is the author of the book ""The Tangled Skein""?",Emma Orczy
P1,author,19810,single,Q4,"Who is the author of the book ""No Deals, Mr. Bond""?",John Gardner (British writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Lon Po Po""?",Ed Young (illustrator)
P1,author,19810,single,Q4,"Who is the author of the book ""The Boat of a Million Years""?",Poul Anderson
P1,author,19810,single,Q4,"Who is the author of the book ""The Purple Decades""?",Tom Wolfe
P1,author,19810,single,Q4,"Who is the author of the book ""Interlopers""?",Alan Dean Foster
P1,author,19810,single,Q4,"Who is the author of the book ""Katrina (novel)""?",Sally Salminen
P1,author,19810,single,Q4,"Who is the author of the book ""The Hand in the Glove""?",Rex Stout
P1,author,19810,single,Q4,"Who is the author of the book ""Family Secrets (novel)""?",Norma Klein
P1,author,19810,single,Q4,"Who is the author of the book ""Loudspeaker Recipes: Book 1""?",Vance Dickason
P1,author,19810,single,Q4,"Who is the author of the book ""Witches Abroad""?",Terry Pratchett
P1,author,19810,single,Q4,"Who is the author of the book ""Other Voices, Other Rooms (novel)""?",Truman Capote
P1,author,19810,single,Q4,"Who is the author of the book ""Extensa""?",Jacek Dukaj
P1,author,19810,single,Q4,"Who is the author of the book ""Austerlitz (novel)""?",W. G. Sebald
P1,author,19810,single,Q4,"Who is the author of the book ""Greyhawk: The Adventure Begins""?",Roger E. Moore
P1,author,19810,single,Q4,"Who is the author of the book ""Mystic River (novel)""?",Dennis Lehane
P1,author,19810,single,Q4,"Who is the author of the book ""The In-Between World of Vikram Lall""?",M. G. Vassanji
P1,author,19810,single,Q4,"Who is the author of the book ""The Soddit""?",Adam Roberts (British writer)
P1,author,19810,single,Q4,"Who is the author of the book ""The Killing Doll""?",Ruth Rendell
P1,author,19810,single,Q4,"Who is the author of the book ""The Arkham Collector: Volume I""?",August Derleth
P1,author,19810,single,Q4,"Who is the author of the book ""Going to Ground""?",Ali Sparkes
P1,author,19810,single,Q4,"Who is the author of the book ""Black Fox of Lorne""?",Marguerite de Angeli
P1,author,19810,single,Q4,"Who is the author of the book ""Seventeen (Tarkington novel)""?",Booth Tarkington
P1,author,19810,single,Q4,"Who is the author of the book ""The £1,000,000 Bank Note and Other New Stories""?",Mark Twain
P1,author,19810,single,Q4,"Who is the author of the book ""Under Compulsion""?",Thomas M. Disch
P1,author,19810,single,Q4,"Who is the author of the book ""The Man Within""?",Graham Greene
P1,author,19810,single,Q4,"Who is the author of the book ""The Virgin of Zesh & The Tower of Zanid""?",L. Sprague de Camp
P1,author,19810,single,Q4,"Who is the author of the book ""Players (DeLillo novel)""?",Don DeLillo
P1,author,19810,single,Q4,"Who is the author of the book ""Lipstick Jungle (novel)""?",Candace Bushnell
P1,author,19810,single,Q4,"Who is the author of the book ""Lost Worlds (book)""?",Clark Ashton Smith
P1,author,19810,single,Q4,"Who is the author of the book ""Zuleika Dobson""?",Max Beerbohm
P1,author,19810,single,Q4,"Who is the author of the book ""334 (novel)""?",Thomas M. Disch
P1,author,19810,single,Q4,"Who is the author of the book ""Out of Space and Time""?",Clark Ashton Smith
P1,author,19810,single,Q4,"Who is the author of the book ""Zodiac (novel)""?",Neal Stephenson
P1,author,19810,single,Q4,"Who is the author of the book ""Claudine at School""?",Colette
P1,author,19810,single,Q4,"Who is the author of the book ""The Magicians (Priestley novel)""?",J. B. Priestley
P1,author,19810,single,Q4,"Who is the author of the book ""Selected Letters of H. P. Lovecraft II (1925–1929)""?",H. P. Lovecraft
P1,author,19810,single,Q4,"Who is the author of the book ""Angel-Seeker""?",Sharon Shinn
P1,author,19810,single,Q4,"Who is the author of the book ""Curly: An Illustrated Biography of the Superstooge""?",Joan Howard Maurer
P1,author,19810,single,Q4,"Who is the author of the book ""The Worms of Kukumlima""?",Daniel Pinkwater
P1,author,19810,single,Q4,"Who is the author of the book ""Deutsches Requiem (short story)""?",Jorge Luis Borges
P1,author,19810,single,Q4,"Who is the author of the book ""People Might Hear You""?",Robin Klein
P1,author,19810,single,Q4,"Who is the author of the book ""Beyond the Golden Stair""?",Hannes Bok
P1,author,19810,single,Q4,"Who is the author of the book ""Earthworks (novel)""?",Brian Aldiss
P1,author,19810,single,Q4,"Who is the author of the book ""The Albatross""?",Susan Hill
P1,author,19810,single,Q4,"Who is the author of the book ""Malafrena""?",Ursula K. Le Guin
P1,author,19810,single,Q4,"Who is the author of the book ""Theodosia and the Serpents of Chaos""?",Robin LaFevers
P1,author,19810,single,Q4,"Who is the author of the book ""Empire Star""?",Samuel R. Delany
P1,author,19810,single,Q4,"Who is the author of the book ""Being Dead""?",Jim Crace
P1,author,19810,single,Q4,"Who is the author of the book ""Mephisto (novel)""?",Klaus Mann
P1,author,19810,single,Q4,"Who is the author of the book ""My Theodosia""?",Anya Seton
P1,author,19810,single,Q4,"Who is the author of the book ""Lords and Ladies (novel)""?",Terry Pratchett
P1,author,19810,single,Q4,"Who is the author of the book ""Cloudstreet""?",Tim Winton
P1,author,19810,single,Q4,"Who is the author of the book ""The Unknown Ajax""?",Georgette Heyer
P1,author,19810,single,Q4,"Who is the author of the book ""Buried Fire""?",Jonathan Stroud
P1,author,19810,single,Q4,"Who is the author of the book ""Salem Falls""?",Jodi Picoult
P1,author,19810,single,Q4,"Who is the author of the book ""The Chase (Doctor Who)  The Chase  1""?",John Peel (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""The Railway Children""?",E. Nesbit
P1,author,19810,single,Q4,"Who is the author of the book ""The Tough Guide To Fantasyland""?",Diana Wynne Jones
P1,author,19810,single,Q4,"Who is the author of the book ""Dark Rivers of the Heart""?",Dean Koontz
P1,author,19810,single,Q4,"Who is the author of the book ""The New Jerusalem (Chesterton book)""?",G. K. Chesterton
P1,author,19810,single,Q4,"Who is the author of the book ""K-PAX IV: A New Visitor from the Constellation Lyra""?",Gene Brewer
P1,author,19810,single,Q4,"Who is the author of the book ""Who Put That Hair in My Toothbrush?""?",Jerry Spinelli
P1,author,19810,single,Q4,"Who is the author of the book ""Forty Thousand in Gehenna""?",C. J. Cherryh
P1,author,19810,single,Q4,"Who is the author of the book ""Cloud, Castle, Lake""?",Vladimir Nabokov
P1,author,19810,single,Q4,"Who is the author of the book ""The Problem of Pain""?",C. S. Lewis
P1,author,19810,single,Q4,"Who is the author of the book ""The Princess Casamassima""?",Henry James
P1,author,19810,single,Q4,"Who is the author of the book ""Jazz (novel)""?",Toni Morrison
P1,author,19810,single,Q4,"Who is the author of the book ""The New Journalism""?",Tom Wolfe
P1,author,19810,single,Q4,"Who is the author of the book ""100 Books by August Derleth""?",August Derleth
P1,author,19810,single,Q4,"Who is the author of the book ""Dreamer of Dune""?",Brian Herbert
P1,author,19810,single,Q4,"Who is the author of the book ""Zoenoffer""?",Pieter Aspe
P1,author,19810,single,Q4,"Who is the author of the book ""How to Be Alone""?",Jonathan Franzen
P1,author,19810,single,Q4,"Who is the author of the book ""Special Topics in Calamity Physics""?",Marisha Pessl
P1,author,19810,single,Q4,"Who is the author of the book ""Gunnar's Daughter""?",Sigrid Undset
P1,author,19810,single,Q4,"Who is the author of the book ""Glasshouse (novel)""?",Charles Stross
P1,author,19810,single,Q4,"Who is the author of the book ""Europe Central""?",William T. Vollmann
P1,author,19810,single,Q4,"Who is the author of the book ""Alphabetical Africa""?",Walter Abish
P1,author,19810,single,Q4,"Who is the author of the book ""The Complete Walker""?",Chip Rawlins
P1,author,19810,single,Q4,"Who is the author of the book ""Desperation (novel)""?",Stephen King
P1,author,19810,single,Q4,"Who is the author of the book ""First Love: A Gothic Tale""?",Joyce Carol Oates
P1,author,19810,single,Q4,"Who is the author of the book ""Skeleton Crew""?",Stephen King
P1,author,19810,single,Q4,"Who is the author of the book ""Star Wars Journal: The Fight for Justice""?",John Peel (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Clonk Clonk""?",William Golding
P1,author,19810,single,Q4,"Who is the author of the book ""Absolutely Normal Chaos""?",Sharon Creech
P1,author,19810,single,Q4,"Who is the author of the book ""Howard Phillips Lovecraft: Dreamer on the Nightside""?",Frank Belknap Long
P1,author,19810,single,Q4,"Who is the author of the book ""Philip Hall Likes Me, I Reckon Maybe""?",Bette Greene
P1,author,19810,single,Q4,"Who is the author of the book ""Infidel (novel)""?",Ted Dekker
P1,author,19810,single,Q4,"Who is the author of the book ""My Cousin Rachel""?",Daphne du Maurier
P1,author,19810,single,Q4,"Who is the author of the book ""Journal of a Novel""?",John Steinbeck
P1,author,19810,single,Q4,"Who is the author of the book ""Freckle Juice""?",Judy Blume
P1,author,19810,single,Q4,"Who is the author of the book ""The Tower of the Elephant (collection)""?",Robert E. Howard
P1,author,19810,single,Q4,"Who is the author of the book ""Up the Line""?",Robert Silverberg
P1,author,19810,single,Q4,"Who is the author of the book ""The Quiet Gentleman""?",Georgette Heyer
P1,author,19810,single,Q4,"Who is the author of the book ""Luna (Peters novel)""?",Julie Anne Peters
P1,author,19810,single,Q4,"Who is the author of the book ""The New Biographical Dictionary of Film""?",David Thomson (film critic)
P1,author,19810,single,Q4,"Who is the author of the book ""The Sword of Skelos""?",Andrew J. Offutt
P1,author,19810,single,Q4,"Who is the author of the book ""In the Presence of Mine Enemies""?",Harry Turtledove
P1,author,19810,single,Q4,"Who is the author of the book ""Anne Frank: The Biography""?",Melissa Müller
P1,author,19810,single,Q4,"Who is the author of the book ""Judgment Night (collection)""?",C. L. Moore
P1,author,19810,single,Q4,"Who is the author of the book ""Ekaveera""?",Viswanatha Satyanarayana
P1,author,19810,single,Q4,"Who is the author of the book ""The Golden Bowl""?",Henry James
P1,author,19810,single,Q4,"Who is the author of the book ""In Milton Lumky Territory""?",Philip K. Dick
P1,author,19810,single,Q4,"Who is the author of the book ""The Adventures of Ferdinand Count Fathom""?",Tobias Smollett
P1,author,19810,single,Q4,"Who is the author of the book ""Summa Technologiae""?",Stanisław Lem
P1,author,19810,single,Q4,"Who is the author of the book ""Random Hearts (novel)""?",Warren Adler
P1,author,19810,single,Q4,"Who is the author of the book ""Blackwater (novelette)""?",Conn Iggulden
P1,author,19810,single,Q4,"Who is the author of the book ""Guy Domville""?",Henry James
P1,author,19810,single,Q4,"Who is the author of the book ""How the Steel Was Tempered""?",Nikolai Ostrovsky
P1,author,19810,single,Q4,"Who is the author of the book ""If They Give You Lined Paper, Write Sideways""?",Daniel Quinn
P1,author,19810,single,Q4,"Who is the author of the book ""Jumbee and Other Uncanny Tales""?",Henry S. Whitehead
P1,author,19810,single,Q4,"Who is the author of the book ""The Valley of the Moon (novel)""?",Jack London
P1,author,19810,single,Q4,"Who is the author of the book ""Jacklight""?",Louise Erdrich
P1,author,19810,single,Q4,"Who is the author of the book ""Manual of the Warrior of Light""?",Paulo Coelho
P1,author,19810,single,Q4,"Who is the author of the book ""A Martian Odyssey and Others""?",Stanley G. Weinbaum
P1,author,19810,single,Q4,"Who is the author of the book ""A Monk Swimming""?",Malachy McCourt
P1,author,19810,single,Q4,"Who is the author of the book ""True Blue: The Oxford Boat Race Mutiny""?",Patrick Robinson (author)
P1,author,19810,single,Q4,"Who is the author of the book ""A Town Like Alice""?",Nevil Shute
P1,author,19810,single,Q4,"Who is the author of the book ""The Man in the Maze (novel)""?",Robert Silverberg
P1,author,19810,single,Q4,"Who is the author of the book ""This Perfect Day""?",Ira Levin
P1,author,19810,single,Q4,"Who is the author of the book ""Armor (novel)""?",John Steakley
P1,author,19810,single,Q4,"Who is the author of the book ""A Loyal Character Dancer""?",Qiu Xiaolong
P1,author,19810,single,Q4,"Who is the author of the book ""Archer's Goon""?",Diana Wynne Jones
P1,author,19810,single,Q4,"Who is the author of the book ""Song of the Swallows""?",Leo Politi
P1,author,19810,single,Q4,"Who is the author of the book ""The Ferguson Rifle""?",Louis L'Amour
P1,author,19810,single,Q4,"Who is the author of the book ""Journal of a Sad Hermaphrodite""?",Michael de Larrabeiti
P1,author,19810,single,Q4,"Who is the author of the book ""The Inner Circle""?",Brad Meltzer
P1,author,19810,single,Q4,"Who is the author of the book ""A Guide to the Scientific Knowledge of Things Familiar""?",E. Cobham Brewer
P1,author,19810,single,Q4,"Who is the author of the book ""The Logia of Yeshua""?",Guy Davenport
P1,author,19810,single,Q4,"Who is the author of the book ""Instead of Three Wishes: Magical Short Stories""?",Megan Whalen Turner
P1,author,19810,single,Q4,"Who is the author of the book ""The Reluctant King""?",L. Sprague de Camp
P1,author,19810,single,Q4,"Who is the author of the book ""Hexwood""?",Diana Wynne Jones
P1,author,19810,single,Q4,"Who is the author of the book ""A Little Tour in France""?",Henry James
P1,author,19810,single,Q4,"Who is the author of the book ""Green Shadows, White Whale""?",Ray Bradbury
P1,author,19810,single,Q4,"Who is the author of the book ""Sartoris""?",William Faulkner
P1,author,19810,single,Q4,"Who is the author of the book ""Lucas (novel)""?",Kevin Brooks (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""Mainspring (novel)""?",Jay Lake
P1,author,19810,single,Q4,"Who is the author of the book ""Driving Blind""?",Ray Bradbury
P1,author,19810,single,Q4,"Who is the author of the book ""Guts: The True Stories Behind Hatchet and the Brian Books""?",Gary Paulsen
P1,author,19810,single,Q4,"Who is the author of the book ""The Twelfth Imam""?",Joel C. Rosenberg
P1,author,19810,single,Q4,"Who is the author of the book ""Selected Letters of Clark Ashton Smith""?",Clark Ashton Smith
P1,author,19810,single,Q4,"Who is the author of the book ""Chander Pahar""?",Bibhutibhushan Bandyopadhyay
P1,author,19810,single,Q4,"Who is the author of the book ""Ghost Dance (novel)""?",John Norman
P1,author,19810,single,Q4,"Who is the author of the book ""Darkover Landfall""?",Marion Zimmer Bradley
